Province,Part,Capital,Latitude,Longitude,Population,Migration Ratio,Net Migration,Emigration,Immigration,From Beijing,From Tianjin,From Hebei,From Shanxi,From Inner Mongolia,From Liaoning,From Jilin,From Heilongjiang,From Shanghai,From Jiangsu,From Zhejiang,From Anhui,From Fujian,From Jiangxi,From Shandong,From Henan,From Hubei,From Hunan,From Guangdong,From Guangxi,From Hainan,From Chongqing,From Sichuan,From Guizhou,From Yunnan,From Tibet,From Shaanxi,From Gansu,From Qinghai,From Ningxia,From Xinjiang,To Beijing,To Tianjin,To Hebei,To Shanxi,To Inner Mongolia,To Liaoning,To Jilin,To Heilongjiang,To Shanghai,To Jiangsu,To Zhejiang,To Anhui,To Fujian,To Jiangxi,To Shandong,To Henan,To Hubei,To Hunan,To Guangdong,To Guangxi,To Hainan,To Chongqing,To Sichuan,To Guizhou,To Yunnan,To Tibet,To Shaanxi,To Gansu,To Qinghai,To Ningxia,To Xinjiang
Beijing,Eastern,Beijing,39.9042,116.407396,19612368,25.68,345,274365,7044533,,83050,1559016,268506,236088,247843,213990,403287,18245,194997,126071,430096,95900,141197,597737,979741,334516,152153,70783,31196,8293,85654,325313,38914,27578,1499,164559,143265,11361,17833,35852,,22731,74697,6850,6662,8928,4132,7961,22843,14117,8054,4372,3936,3194,13104,6863,6544,4796,18918,2815,2742,3844,8886,1277,2243,229,6526,3035,781,1022,2263
Tianjin,Eastern,Tianjin,39.343357,117.361648,12938693,10.95,210,273134,2991501,22731,,754466,101485,85171,81930,101541,194113,5214,72313,43254,138998,29491,33762,505129,331307,108382,34127,19261,8927,2615,27125,108996,17276,11201,1181,63614,64184,7451,6467,9789,83050,,65019,5671,6804,8384,3691,5235,12768,8785,5595,2810,3373,2427,12762,4674,4289,2725,11606,2620,1838,2080,4102,913,2062,81,3962,2524,559,759,1966
Hebei,Eastern,Shijiazhuang,38.042805,114.514893,71854210,0.4,-29,3498253,1404673,74697,65019,,57965,102610,75003,59564,196431,2339,36932,32221,62742,20034,20274,89303,181149,62297,25005,9170,8678,2895,23944,83144,17858,14957,862,44276,20102,5047,3555,6600,1559016,754466,,138172,183926,69162,20428,27082,67497,83969,42158,21318,16751,14568,142422,38663,26003,16206,85828,13875,7297,13090,29229,8514,12295,1337,39377,14488,10611,12137,28368
Shanxi,Central,Taiyuan,37.87059,112.548879,35712101,0.86,-4,1083291,931653,6850,5671,138172,,78775,13464,11308,16195,1189,35076,26610,45524,21604,11886,46963,197438,48174,17815,5888,3990,1659,20767,79274,11754,12713,211,56292,11219,1980,1299,1893,268506,101485,57965,,156745,16797,5745,6862,45048,50963,25344,8816,10351,12391,54008,36250,15543,10012,54709,6042,4758,7517,14826,3658,6122,699,67064,7784,5142,7016,15123
Inner Mongolia,Western,Hohhot,40.842356,111.749995,24706291,1.35,15,1067556,1444181,6662,6804,183926,156745,,73364,63894,142986,851,33276,22885,37106,15357,14863,68290,103645,35317,15542,5098,3216,884,15202,86557,9525,7283,178,141982,141901,4867,43225,2750,236088,85171,102610,78775,,179980,34743,52542,23737,20694,14437,4746,5407,8857,78671,7851,10623,4815,25215,4509,5631,6129,8008,1345,2995,223,35671,5724,2068,14543,5748
Liaoning,Eastern,Shenyang,41.805699,123.431472,43746323,1.76,18,1014028,1786530,8928,8384,69162,16797,179980,,300028,569555,3596,44140,30288,75000,19760,13284,119513,122054,35281,16744,10760,3951,1708,21540,68727,8125,5540,922,15177,8505,2934,1680,4467,247843,81930,75003,13464,73364,,63868,57616,62868,36558,28236,7484,12624,6823,78808,8996,8872,7434,66438,8205,7623,5143,12801,3234,6811,471,12218,5884,2074,3340,7995
Jilin,Eastern,Changchun,43.817071,125.323544,27452815,0.33,-33,1372853,456499,4132,3691,20428,5745,34743,63868,,130578,1589,14266,13593,19642,7098,5034,44538,25648,14764,5888,3663,1739,1645,3616,14570,2194,2404,228,4450,2636,1234,726,2149,213990,101541,59564,11308,63894,300028,,120545,58851,40200,32412,7269,12063,4979,186138,8437,6408,6980,74451,9081,8635,3814,10104,3536,6211,328,8166,3607,1841,2398,6074
Heilongjiang,Eastern,Harbin,45.803775,126.534967,38313991,0.2,-53,2553648,506397,7961,5235,27082,6862,52542,57616,120545,,2508,19040,12339,23337,7560,7041,62131,25240,16974,7388,4738,2328,1720,5092,12873,3268,2628,194,5017,3958,862,752,1566,403287,194113,196431,16195,142986,569555,130578,,98574,69214,55310,9464,20135,5275,408047,14519,9540,7242,108799,12165,18972,5090,12455,3674,8418,426,11542,4079,2151,4525,10887
Shanghai,Eastern,Shanghai,31.23039,121.473702,23019196,35.86,379,250340,8977000,22843,12768,67497,45048,23737,62868,58851,98574,,1503522,450506,2602273,263790,487192,378404,782553,407747,228544,79348,49241,9451,227653,624465,148084,69992,1136,126155,94798,11264,9893,28803,18245,5214,2339,1189,851,3596,1589,2508,,82612,38525,20773,4863,8354,5700,3670,5253,3040,14206,2046,1564,3028,6340,1940,2832,78,2792,1606,382,482,4723
Jiangsu,Eastern,Nanjing,32.060255,118.796877,78660941,2.41,55,3058880,7379253,14117,8785,83969,50963,20694,36558,40200,69214,82612,,268489,2574625,138615,264814,410813,1016424,400715,203041,44584,45570,5845,178765,650575,275505,141091,1837,206894,101709,13807,6988,21435,194997,72313,36932,35076,33276,44140,14266,19040,1503522,,341618,114421,41172,25673,138354,31668,37838,18018,126289,14298,9579,16061,30802,15445,16008,1348,33569,18796,13031,9457,51873
Zhejiang,Eastern,Hangzhou,30.274084,120.15507,54426891,6.38,183,1853940,11823977,8054,5595,42158,25344,14437,28236,32412,55310,38525,341618,,2285198,163702,1529896,185417,1224230,898618,749699,46522,139125,5751,592942,1240580,1499220,411088,1084,168197,62147,8190,5822,14860,126071,43254,32221,26610,22885,30288,13593,12339,450506,268489,,61431,69114,47102,61734,33679,56718,33618,155697,35617,12309,24947,48723,31884,46172,2085,34526,22767,9530,10050,29981
Anhui,Central,Hefei,31.820591,117.227219,59500468,0.07,-150,9622595,717463,4372,2810,21318,8816,4746,7484,7269,9464,20773,114421,61431,,28855,39952,34391,96612,48051,32399,12738,8074,2270,16174,43819,32875,28538,715,15787,6422,2873,925,3089,430096,138998,62742,45524,37106,75000,19642,23337,2602273,2574625,2285198,,250267,51294,130067,61209,60119,25489,445369,28763,19990,14401,27330,19193,23297,2536,41692,15264,12690,17918,81166
Fujian,Eastern,Fuzhou,26.074478,119.296482,36894217,2.59,72,1667254,4313602,3936,3373,16751,10351,5407,12624,12063,20135,4863,41172,69114,250267,,948654,42937,277933,340054,234580,51299,69962,9030,409644,822445,472000,98241,624,56319,18055,2540,4408,4821,95900,29491,20034,21604,15357,19760,7098,7560,263790,138615,163702,28855,,44554,37201,20286,37293,32685,434276,43916,18815,21182,33877,28542,41359,1094,25932,9620,5527,4383,14946
Jiangxi,Central,Nanchang,28.682892,115.858197,44567797,0.1,-116,5787395,599942,3194,2427,14568,12391,8857,6823,4979,5275,8354,25673,47102,51294,44554,,18685,40997,52502,68386,36268,19775,6543,13788,34524,33869,10679,524,10439,9461,2375,2442,3194,141197,33762,20274,11886,14863,13284,5034,7041,487192,264814,1529896,39952,948654,,31113,19261,57905,71968,1871182,39719,29470,15784,32048,22008,36306,1043,17769,7144,3564,3399,9863
Shandong,Eastern,Jinan,36.6512,117.120095,95792719,0.68,-10,3095717,2115593,13104,12762,142422,54008,78671,78808,186138,408047,5700,138354,61734,130067,37201,31113,,284866,78308,32499,16152,8783,3335,24030,85919,24392,44471,1099,48494,41470,12614,7444,23588,597737,505129,89303,46963,68290,119513,44538,62131,378404,410813,185417,34391,42937,18685,,49067,30327,18024,156021,15506,8954,14722,30371,13481,14933,1428,41436,14945,11267,14868,56116
Henan,Central,Zhengzhou,34.746611,113.625328,94029939,0.07,-85,8626229,592134,6863,4674,38663,36250,7851,8996,8437,14519,3670,31668,33679,61209,20286,19261,49067,,60084,24661,16888,7194,3145,14346,39356,11227,8826,1309,29910,12010,7212,2441,8432,979741,331307,181149,197438,103645,122054,25648,25240,782553,1016424,1224230,96612,277933,40997,284866,,189654,45912,1762133,40119,36557,25532,59436,28186,41947,8640,160447,57449,44426,49339,386615
Hubei,Central,Wuhan,30.592849,114.305539,57237727,0.17,-85,5889792,1013612,6544,4289,26003,15543,10623,8872,6408,9540,5253,37838,56718,60119,37293,57905,30327,189654,,98208,40400,20337,8120,111695,74040,23283,16514,1280,27273,12767,4695,2664,9407,334516,108382,62297,48174,35317,35281,14764,16974,407747,400715,898618,48051,340054,52502,78308,60084,,130046,2335227,49900,43816,45346,70239,41021,56778,4792,64274,25911,18364,9032,53262
Hunan,Central,Changsha,28.228209,112.938814,65700762,0.1,-99,7228896,724982,4796,2725,16206,10012,4815,7434,6980,7242,3040,18018,33618,25489,32685,71968,18024,45912,130046,,67350,34116,8261,23295,50755,45652,20801,821,15042,8967,3180,1643,6089,152153,34127,25005,17815,15542,16744,5888,7388,228544,203041,749699,32399,234580,68386,32499,24661,98208,,4602147,204022,63997,28995,50099,114524,132577,4034,25548,12083,8041,4576,31574
Guangdong,Eastern,Guangzhou,23.12911,113.264385,104320459,24.41,198,880600,21497787,18918,11606,85828,54709,25215,66438,74451,108799,14206,126289,155697,445369,434276,1871182,156021,1762133,2335227,4602147,,3555330,163638,933918,2602276,957774,322351,1228,439222,124987,13087,9343,26122,70783,19261,9170,5888,5098,10760,3663,4738,79348,44584,46522,12738,51299,36268,16152,16888,40400,67350,,124397,79765,19392,36625,17906,25473,414,14439,6042,1800,1504,11933
Guangxi,Western,Nanning,22.817002,108.366543,46023761,0.2,-73,4184566,841806,2815,2620,13875,6042,4509,8205,9081,12165,2046,14298,35617,28763,43916,39719,15506,40119,49900,204022,124397,,11538,21158,56086,50964,24899,231,9414,4151,1467,867,3416,31196,8927,8678,3990,3216,3951,1739,2328,49241,45570,139125,8074,69962,19775,8783,7194,20337,34116,3555330,,59289,10594,17960,26158,34134,300,6420,1961,1089,997,4132
Hainan,Eastern,Haikou,20.044412,110.198286,8671485,2.13,36,275751,588463,2742,1838,7297,4758,5631,7623,8635,18972,1564,9579,12309,19990,18815,29470,8954,36557,43816,63997,79765,59289,,24465,76099,18099,10001,83,7782,4719,1185,651,3778,8293,2615,2895,1659,884,1708,1645,1720,9451,5845,5751,2270,9030,6543,3335,3145,8120,8261,163638,11538,,3698,4772,1673,2623,71,2341,902,213,284,828
Chongqing,Western,Chongqing,29.56305,106.551484,28846170,0.27,-89,3506899,945194,3844,2080,13090,7517,6129,5143,3814,5090,3028,16061,24947,14401,21182,15784,14722,25532,45346,28995,19392,10594,3698,,507990,71950,31326,3335,12800,9146,2684,2210,13364,85654,27125,23944,20767,15202,21540,3616,5092,227653,178765,592942,16174,409644,13788,24030,14346,111695,23295,933918,21158,24465,,299452,109301,152813,11482,25001,8569,8402,6928,90138
Sichuan,Western,Chengdu,30.572815,104.066801,80417528,0.13,-97,8905128,1128573,8886,4102,29229,14826,8008,12801,10104,12455,6340,30802,48723,27330,33877,32048,30371,59436,70239,50099,36625,17960,4772,299452,,57629,91264,19373,34276,32963,17057,3452,24074,325313,108996,83144,79274,86557,68727,14570,12873,624465,650575,1240580,43819,822445,34524,85919,39356,74040,50755,2602276,56086,76099,507990,,209254,345329,83903,116578,44446,44499,21827,350909
Guizhou,Western,Guiyang,26.647661,106.630153,34748556,0.19,-95,4048596,763294,1277,913,8514,3658,1345,3234,3536,3674,1940,15445,31884,19193,28542,22008,13481,28186,41021,114524,17906,26158,1673,109301,209254,,40379,371,9779,3059,1446,309,1284,38914,17276,17858,11754,9525,8125,2194,3268,148084,275505,1499220,32875,472000,33869,24392,11227,23283,45652,957774,50964,18099,71950,57629,,187405,1080,10584,3125,3225,1684,10056
Yunnan,Western,Kunming,24.880095,102.832891,45966766,0.83,-5,1482442,1236549,2243,2062,12295,6122,2995,6811,6211,8418,2832,16008,46172,23297,41359,36306,14933,41947,56778,132577,25473,34134,2623,152813,345329,187405,,869,14435,5813,3322,1202,3765,27578,11201,14957,12713,7283,5540,2404,2628,69992,141091,411088,28538,98241,10679,44471,8826,16514,20801,322351,24899,10001,31326,91264,40379,,3780,7117,3463,2087,1416,9814
Tibet,Western,Lhasa,29.654838,91.140552,3002165,3,37,55185,165423,229,81,1337,699,223,471,328,426,78,1348,2085,2536,1094,1043,1428,8640,4792,4034,414,300,71,11482,83903,1080,3780,,4845,19671,8160,240,605,1499,1181,862,211,178,922,228,194,1136,1837,1084,715,624,524,1099,1309,1280,821,1228,231,83,3335,19373,371,869,,6177,2522,4853,137,302
Shaanxi,Western,Xi'an,34.341574,108.93977,37327379,0.5,-26,1960598,974362,6526,3962,39377,67064,35671,12218,8166,11542,2792,33569,34526,41692,25932,17769,41436,160447,64274,25548,14439,6420,2341,25001,116578,10584,7117,6177,,102522,11520,23504,15648,164559,63614,44276,56292,141982,15177,4450,5017,126155,206894,168197,15787,56319,10439,48494,29910,27273,15042,439222,9414,7782,12800,34276,9779,14435,4845,,47579,23066,55455,102068
Gansu,Western,Lanzhou,36.061089,103.834303,25575263,0.27,-45,1593265,432833,3035,2524,14488,7784,5724,5884,3607,4079,1606,18796,22767,15264,9620,7144,14945,57449,25911,12083,6042,1961,902,8569,44446,3125,3463,2522,47579,,57954,11409,12151,143265,64184,20102,11219,141901,8505,2636,3958,94798,101709,62147,6422,18055,9461,41470,12010,12767,8967,124987,4151,4719,9146,32963,3059,5813,19671,102522,,73076,105125,344457
Qinghai,Western,Xining,36.617134,101.778223,5626723,1.32,14,242086,318435,781,559,10611,5142,2068,2074,1841,2151,382,13031,9530,12690,5527,3564,11267,44426,18364,8041,1800,1089,213,8402,44499,3225,2087,4853,23066,73076,,2135,1941,11361,7451,5047,1980,4867,2934,1234,862,11264,13807,8190,2873,2540,2375,12614,7212,4695,3180,13087,1467,1185,2684,17057,1446,3322,8160,11520,57954,,1521,18197
Ningxia,Western,Yinchuan,38.487193,106.230908,6301350,1.63,23,225794,368451,1022,759,12137,7016,14543,3340,2398,4525,482,9457,10050,17918,4383,3399,14868,49339,9032,4576,1504,997,284,6928,21827,1684,1416,137,55455,105125,1521,,2329,17833,6467,3555,1299,43225,1680,726,752,9893,6988,5822,925,4408,2442,7444,2441,2664,1643,9343,867,651,2210,3452,309,1202,240,23504,11409,2135,,50265
Xinjiang,Western,Urumqi,43.825592,87.616848,21815815,6.03,68,297261,1791642,2263,1966,28368,15123,5748,7995,6074,10887,4723,51873,29981,81166,14946,9863,56116,386615,53262,31574,11933,4132,828,90138,350909,10056,9814,302,102068,344457,18197,50265,,35852,9789,6600,1893,2750,4467,2149,1566,28803,21435,14860,3089,4821,3194,23588,8432,9407,6089,26122,3416,3778,13364,24074,1284,3765,605,15648,12151,1941,2329,